"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zeb2",1896.52592138276,0.666414680240905,0.118670489845832,5.61567312232943,1.95798503501877e-08,0.000357253949489525
"Lpar6",1365.32056697236,0.617284719000697,0.148050270881372,4.16942647470944,3.0536710715332e-05,0.210665377220866
"Pcf11",1813.89036365111,-0.434268489858726,0.104880178165803,-4.14061548572313,3.46375168071138e-05,0.210665377220866
"Ern1",341.678606860032,-0.522850813019752,0.128588609180685,-4.06607409747369,4.78117397728142e-05,0.218093250973692
"Cstf3",1850.82922725335,-0.335952388624528,0.0876176236848603,-3.83430153085261,0.000125921596666891,0.459513090556819
"Neat1",146.502392223253,1.07250628812653,0.290982753218718,3.68580706678645,0.000227979016983097,0.693284190645598
"E130317F20Rik",199.187394394468,0.694873702101184,0.195244714860027,3.55898853702312,0.00037228577808872,0.790220706831199
"Ttpal",765.759482470611,-0.370991961809484,0.104595932017892,-3.54690621950786,0.000389783314780269,0.790220706831199
"Herpud2",825.851992183125,-0.365091633680548,0.102798341618768,-3.5515323295244,0.00038299493778851,0.790220706831199
"D8Ertd82e",1492.5105792267,0.34345194740591,0.097909690377259,3.50784428060741,0.000451753396414877,0.824269247098584
"Rbbp6",5984.16584725929,-0.376089703522628,0.108386671540934,-3.4698888541899,0.000520673776260132,0.863655792876579
"Xkr4",35.9831690569979,0.16884824234416,0.373649528195249,0.451889349786438,0.651348697271253,0.999918824051506
"Rp1",0.148379292445142,-0.90412318787901,4.0804728567969,-0.221573141057169,0.824646193113528,0.999918824051506
"Sox17",56.0811289168993,0.400587008048927,0.385915868252557,1.0380164201664,0.299262410571666,0.999918824051506
"Mrpl15",2204.40508526311,0.0411066633909761,0.0797461071690272,0.515469216620792,0.606225175366897,0.999918824051506
"Lypla1",3579.0698172388,-0.0168421071846572,0.0821836178875154,-0.204932657110678,0.837624739978716,0.999918824051506
"Tcea1",2465.87323893622,0.0410129144803939,0.0817514512169014,0.501678121548927,0.615893956768813,0.999918824051506
"Rgs20",132.181080664608,0.0418667069586839,0.23199908670851,0.180460654189067,0.856790940659787,0.999918824051506
"Atp6v1h",1255.85296524018,0.00327736456238439,0.122957094431781,0.0266545381340541,0.978735273549181,0.999918824051506
"Oprk1",21.0866342310395,0.149669583469814,0.491758374471723,0.304355942347902,0.760856729463531,0.999918824051506
"Npbwr1",9.87165766394326,0.361064204419757,1.04936088652973,0.344080105380913,0.730786044084881,0.999918824051506
"Rb1cc1",1663.05068599112,-0.21305752634696,0.154896242504281,-1.37548544046232,0.168980996473188,0.999918824051506
"Fam150a",1.20726427012801,1.36148516762958,1.91881587972755,0.709544455001539,0.477986674683389,0.999918824051506
"St18",2.50023122333531,-0.531305322245637,1.28262516197862,-0.41423272986944,0.678703674066871,0.999918824051506
