"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",213.141198894476,-0.14163443719712,0.237749817219814,-0.595728900460819,0.551356348110597,0.999975729269715
"Rp1",2.44495580066406,1.14981947373924,2.51340415685805,0.457474963030458,0.647329694066243,0.999975729269715
"Sox17",42.5643676525962,0.142223349433852,0.432298504629039,0.328993387464747,0.742160686126348,0.999975729269715
"Mrpl15",1435.86523830679,0.0829442780030164,0.101083859801619,0.82054917734441,0.411903106647867,0.999975729269715
"Lypla1",2159.72745346586,0.0091970114557286,0.0967458975959113,0.0950635808263697,0.924264325318619,0.999975729269715
"Tcea1",1888.39380509521,0.10594419750288,0.0941572274590987,1.12518391165353,0.260511109167173,0.999975729269715
"Rgs20",129.67280285684,0.0766596998066639,0.221473594994421,0.346134715556475,0.729241474841822,0.999975729269715
"Atp6v1h",2581.78480757954,0.0436579530223282,0.153120833648566,0.285120920400221,0.775551502816224,0.999975729269715
"Oprk1",9.4435085330945,0.196539871399596,0.737790969157596,0.266389640990054,0.789939142384498,0.999975729269715
"Npbwr1",0.371201270626666,-0.0693603308788262,3.88628500771563,-0.0178474637709591,0.985760540165525,0.999975729269715
"Rb1cc1",2278.26975024137,-0.0856532488966908,0.110767739661668,-0.773268906256572,0.439363253574795,0.999975729269715
"St18",721.667764516633,-0.0584881560110588,0.301134516298495,-0.194226011451585,0.845998916476391,0.999975729269715
"Pcmtd1",1235.38314069208,-0.00749157094092005,0.128022021556927,-0.0585178303686512,0.953336160250487,0.999975729269715
"Sntg1",33.5864555970102,0.0845468699104541,0.378767562885244,0.223215708511105,0.823367626728198,0.999975729269715
"Rrs1",1341.61418133576,0.073071004226636,0.138670081988768,0.526941378981478,0.598234297626671,0.999975729269715
"Adhfe1",4.31683852865835,0.021886131205049,1.03998546280999,0.0210446510914814,0.983210037131452,0.999975729269715
"2610203C22Rik",4.27065643129477,0.590984448548957,1.06482292430523,0.555007255252847,0.578889697894046,0.999975729269715
"3110035E14Rik",115.638911255577,0.234737903580267,0.299824949344545,0.782916512096255,0.433676140391984,0.999975729269715
"Mybl1",484.719044134362,-0.0547931772485956,0.277835704242536,-0.197214311954536,0.843659831234144,0.999975729269715
"Vcpip1",2898.08250074167,-0.185028471018253,0.148779638431883,-1.24364108535568,0.213631687933669,0.999975729269715
"1700034P13Rik",7.57544418489602,0.618991434732684,0.792849523436291,0.780717420438007,0.434968712450529,0.999975729269715
"Sgk3",58.1223750378059,0.109658062038705,0.319510045657763,0.343206930514362,0.731442791193984,0.999975729269715
"Snhg6",198.749193364372,-0.044677261895273,0.185140351428576,-0.241315637301838,0.809310492148567,0.999975729269715
"Snord87",5.47290348482766,0.331748091583364,0.858928176759622,0.38623496185084,0.699322663035899,0.999975729269715
"Tcf24",7.31868370079131,-0.17875934192184,0.782095627757186,-0.228564558575104,0.819207373534161,0.999975729269715
"Ppp1r42",0.867427501698642,-0.780097594263642,2.2387202088226,-0.34845694034893,0.727497046433776,0.999975729269715
"Cops5",2799.42639406863,0.0259241386369049,0.13532063790483,0.191575646097214,0.848074620741063,0.999975729269715
"Cspp1",783.902697984557,0.00365756209177931,0.172549410539211,0.0211971868252087,0.98308835836772,0.999975729269715
"Arfgef1",3708.24428383995,-0.107857307623378,0.140863332360909,-0.765687605252977,0.443862203856072,0.999975729269715
"Cpa6",0.150472878516113,-1.03114201949934,4.0804728567969,-0.252701599958386,0.800498811417036,0.999975729269715
"Prex2",569.787205948032,-0.248949651389393,0.279088239633954,-0.892010540164323,0.372387282905954,0.999975729269715
"A830018L16Rik",116.502272905491,-0.0558144673304563,0.430381426854448,-0.129686050205257,0.896814819679003,0.999975729269715
"Sulf1",2946.63950957062,-0.13319180266768,0.475104774196735,-0.28034195802993,0.779215162949243,0.999975729269715
"Slco5a1",1596.53715767038,-0.156489729727934,0.138805975225633,-1.12739908691651,0.259573784952021,0.999975729269715
"Prdm14",0.6728354666615,2.82784504337648,3.1320685809436,0.902868174912228,0.366595863049511,0.999975729269715
"Ncoa2",2930.14349158577,-0.164958911441819,0.134349994995682,-1.22782968058258,0.219510911282263,0.999975729269715
"Tram1",2602.62279009573,0.0206626236114804,0.130528140064669,0.158300145863131,0.87422029320972,0.999975729269715
"Lactb2",560.85473488459,-0.0785475727889596,0.117225285465695,-0.670056570789466,0.502821728450946,0.999975729269715
"Gm5523",3.2161272334256,-0.558599984326747,1.1381887663818,-0.490779737795593,0.623582242527829,0.999975729269715
"Eya1",255.912504594692,0.00428989344370034,0.286822521879379,0.0149566129451453,0.988066794361045,0.999975729269715
"Msc",41.8238734748958,0.19393343649126,0.442711352390995,0.438058422138633,0.661343933414696,0.999975729269715
"Trpa1",3.81753672603031,-0.461481064290692,0.99004333139111,-0.466122087446682,0.641128114145438,0.999975729269715
"Kcnb2",85.2592350650532,-0.330096807894092,0.223924097935877,-1.47414597596646,0.140442291931161,0.999975729269715
"Terf1",869.688010564967,0.0555362134557147,0.148240648723038,0.374635526315555,0.70793154796579,0.999975729269715
"Sbspon",3.17807220272342,-0.875938540773037,1.22208829557993,-0.716755527355224,0.473524957104168,0.999975729269715
"4930444P10Rik",6.85089554749127,0.221626288336364,0.857127703899575,0.258568574237021,0.795968132933753,0.999975729269715
"Rpl7",19207.1207301972,0.0773114501242632,0.120477741104102,0.641707334614286,0.521063226027574,0.999975729269715
"Rdh10",498.193142352478,0.0693489726956274,0.207664003965984,0.33394797062175,0.738418820304446,0.999975729269715
"Stau2",999.708398582655,0.0136618238621652,0.122283472193883,0.111722570655372,0.911043382573214,0.999975729269715
